tar_lum,mat_lum,obs,background
281,273.9333333333333,sub3,variegated
281,314.2,sub3,variegated
89,90.32666666666665,sub3,variegated
155,161.7,sub3,variegated
60,61.28666666666666,sub3,variegated
281,259.8333333333333,sub3,variegated
89,81.53999999999999,sub3,variegated
281,311.0,sub3,variegated
120,120.06666666666665,sub3,variegated
60,62.75,sub3,variegated
155,149.2333333333333,sub3,variegated
242,253.2666666666667,sub3,variegated
155,167.5333333333333,sub3,variegated
242,205.80000000000004,sub3,variegated
40,40.87333333333333,sub3,variegated
242,220.8666666666667,sub3,variegated
60,65.72333333333334,sub3,variegated
40,38.636666666666656,sub3,variegated
199,188.5,sub3,variegated
25,21.16,sub3,variegated
89,73.33333333333331,sub3,variegated
40,28.70666666666667,sub3,homogeneous
89,76.69666666666667,sub3,homogeneous
25,12.573333333333329,sub3,homogeneous
199,188.5,sub3,homogeneous
40,29.663333333333338,sub3,homogeneous
155,144.6,sub3,homogeneous
89,67.19333333333333,sub3,homogeneous
120,113.46666666666664,sub3,homogeneous
155,137.3666666666667,sub3,homogeneous
89,81.53999999999999,sub3,homogeneous
199,208.80000000000004,sub3,homogeneous
312,306.9666666666667,sub3,homogeneous
242,231.1333333333333,sub3,homogeneous
281,299.3666666666666,sub3,homogeneous
199,227.13333333333327,sub3,homogeneous
60,50.44,sub3,homogeneous
155,132.8,sub3,homogeneous
281,277.6333333333334,sub3,homogeneous
242,246.5666666666667,sub3,homogeneous
120,111.36666666666669,sub3,homogeneous
312,314.2,sub3,homogeneous
89,79.87,sub3,homogeneous
242,246.5666666666667,sub3,homogeneous
242,263.2666666666667,sub3,homogeneous
25,13.74,sub3,homogeneous
242,318.8666666666667,sub3,homogeneous
312,379.2666666666666,sub3,homogeneous
60,45.52,sub3,homogeneous
199,263.2666666666667,sub3,homogeneous
312,379.2666666666666,sub3,homogeneous
25,11.476666666666665,sub3,homogeneous
281,306.9666666666667,sub3,homogeneous
40,21.97,sub3,homogeneous
120,124.06666666666665,sub3,homogeneous
312,318.8666666666667,sub3,homogeneous
155,154.2333333333333,sub3,homogeneous
120,107.36666666666669,sub3,homogeneous
281,325.79999999999995,sub3,homogeneous
25,10.446666666666669,sub3,homogeneous
199,214.76666666666662,sub3,homogeneous
199,227.13333333333327,sub3,homogeneous
120,111.36666666666669,sub3,homogeneous
155,137.3666666666667,sub3,homogeneous
89,83.22666666666667,sub3,homogeneous
120,117.5,sub3,homogeneous
242,314.2,sub3,homogeneous
25,14.32,sub3,homogeneous
60,54.333333333333336,sub3,homogeneous
60,53.00333333333334,sub3,homogeneous
25,14.923333333333332,sub3,homogeneous
120,115.7333333333333,sub3,homogeneous
281,318.8666666666667,sub3,homogeneous
25,9.46133333333333,sub3,homogeneous
25,9.46133333333333,sub3,homogeneous
312,346.6666666666667,sub3,homogeneous
312,337.9333333333333,sub3,homogeneous
312,370.76666666666677,sub3,homogeneous
155,154.2333333333333,sub3,homogeneous
60,53.00333333333334,sub3,homogeneous
242,273.9333333333333,sub3,homogeneous
312,366.73333333333323,sub3,homogeneous
199,233.5333333333333,sub3,homogeneous
120,117.5,sub3,homogeneous
89,72.01000000000002,sub3,homogeneous
312,366.73333333333323,sub3,homogeneous
89,76.69666666666667,sub3,homogeneous
60,51.81,sub3,homogeneous
120,113.46666666666664,sub3,homogeneous
25,11.476666666666665,sub3,homogeneous
199,259.8333333333333,sub3,homogeneous
40,21.16,sub3,homogeneous
40,33.46,sub3,homogeneous
40,22.693333333333328,sub3,homogeneous
60,55.76333333333332,sub3,homogeneous
155,139.7666666666667,sub3,homogeneous
40,26.94,sub3,homogeneous
199,205.80000000000004,sub3,homogeneous
281,291.8666666666667,sub3,homogeneous
40,25.16,sub3,homogeneous
281,322.2,sub3,homogeneous
281,303.5333333333333,sub3,homogeneous
89,73.33333333333331,sub3,homogeneous
155,144.6,sub3,homogeneous
